manifold,words,sigma,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
m022,aaB/Abb/Bab,3.0,0.3068,0.7673,0.6077,0.2049,0.5231,0.4082,0.7482,0.371,0.6812,0.6311
m019,Ab/BA/BB,3.0,0.311846,0.7692,0.5897,0.2462,0.5375,0.3887,0.7483,0.3455,0.7079,0.616
m022,baa/bab/AAb,3.0,0.311823,0.7751,0.5763,0.2591,0.5375,0.3856,0.75,0.3323,0.7205,0.6086
m026,aa/Bab/BaB,3.0,0.311418,0.7822,0.5642,0.2641,0.5338,0.3885,0.7511,0.3212,0.7285,0.6051
m029,aa/aaa/bbb,3.0,0.328262,0.7828,0.5971,0.1752,0.5074,0.4495,0.7351,0.3602,0.6644,0.6549
m036,bb/AAb/BAb,3.0,0.311467,0.7494,0.6201,0.2321,0.5424,0.3738,0.7524,0.3798,0.6897,0.6165
m207,abA/aca/aCb,3.0,0.307116,0.7589,0.6169,0.2086,0.5287,0.3967,0.7504,0.3802,0.6798,0.6272
m022,abb/bbb/ABA,3.0,0.30428,0.7635,0.6028,0.2319,0.5339,0.3869,0.7518,0.3634,0.6978,0.6172
m023,bAA/Baa/BBa,0.5,0.325659,0.7419,0.6261,0.2398,0.5524,0.3682,0.7478,0.3799,0.6873,0.6191
m038,aBa/bbb/BaB,0.8,0.32279,0.7581,0.6199,0.2026,0.5317,0.4077,0.7424,0.3776,0.6705,0.6386
m034,aaa/bbb/Aba,2.5,0.317268,0.7404,0.6268,0.2427,0.5507,0.3587,0.7537,0.3854,0.6917,0.6107
m034,bb/bAb/ABa,3.0,0.306435,0.7497,0.6235,0.2217,0.5369,0.3774,0.7545,0.3868,0.6847,0.6177
m081,ab/aab/Baa,3.0,0.323098,0.7623,0.5846,0.2776,0.5525,0.3646,0.7495,0.3369,0.7248,0.6009
m070,aab/abA/bAA,0.8,0.31959,0.7305,0.6428,0.2305,0.5499,0.3537,0.7567,0.4049,0.6795,0.6119
m038,aa/baB/bbA,1.5,0.324344,0.7358,0.6387,0.2249,0.5488,0.3679,0.7506,0.3967,0.6758,0.6212
m036,aa/bbb/AAB,3.0,0.310596,0.7705,0.6084,0.1901,0.5165,0.4212,0.7455,0.3735,0.6727,0.6388
m032,aB/AA/aaa,2.0,0.329168,0.7586,0.5892,0.2782,0.5566,0.3641,0.7468,0.3387,0.7214,0.6041
m033,aab/abb/Abb,3.0,0.324268,0.7352,0.6303,0.2494,0.5567,0.3515,0.7527,0.3867,0.6923,0.6093
m030,ab/aaB/Aba,3.0,0.305191,0.7671,0.5967,0.2356,0.5335,0.3893,0.7509,0.3563,0.7017,0.617
m023,aa/bbb/Abb,3.0,0.306609,0.7766,0.5833,0.238,0.5291,0.399,0.7489,0.3419,0.7075,0.6185
m038,aBa/bab/bAA,1.0,0.330516,0.7811,0.5825,0.2247,0.5284,0.4252,0.7348,0.3325,0.6927,0.64
m026,Ab/AB/BAb,3.0,0.31146,0.7886,0.5642,0.2446,0.5242,0.4088,0.747,0.3215,0.7173,0.6182
m039,aba/aBB/bbb,3.0,0.312263,0.7648,0.6137,0.1961,0.5225,0.4128,0.746,0.3769,0.673,0.6364
m035,ab/aaa/aBB,3.0,0.327544,0.7755,0.5823,0.244,0.5376,0.4063,0.7388,0.331,0.7042,0.6281
m037,aab/bbA/BAB,1.5,0.321712,0.7588,0.6235,0.1884,0.5252,0.4145,0.7432,0.3853,0.6629,0.642
m130,baB/ABA/ABB,3.0,0.315678,0.7716,0.5774,0.2671,0.5427,0.3783,0.7499,0.3319,0.7235,0.6052
m120,ba/bbb/BAA,3.0,0.311912,0.7714,0.5954,0.2246,0.5295,0.4048,0.7455,0.3529,0.694,0.6275
m223,aa/aBA/bAA,3.0,0.312978,0.7903,0.5817,0.1924,0.5054,0.4413,0.7416,0.3465,0.6833,0.6427
m038,AA/aBA/bAB,0.8,0.329469,0.7343,0.6349,0.24,0.5561,0.36,0.7491,0.3892,0.6836,0.6175
m036,ba/bab/AAA,2.5,0.321422,0.7651,0.5857,0.2675,0.5483,0.3748,0.7476,0.3376,0.7186,0.6079
m160,ba/AAb/ABa,3.0,0.308024,0.7701,0.6064,0.1979,0.5192,0.4156,0.7468,0.3706,0.6779,0.6349
m117,aB/abA/BAA,3.0,0.303994,0.7635,0.6105,0.2109,0.5265,0.3991,0.7507,0.3741,0.6842,0.6261
m026,aaa/Aba/BAB,2.5,0.307745,0.7651,0.5947,0.2468,0.5386,0.3811,0.7514,0.3528,0.7079,0.6119
m140,aa/abb/bAb,3.0,0.304599,0.7548,0.6145,0.2295,0.5371,0.3781,0.7541,0.3767,0.6924,0.6154
m027,ab/aB/AA,3.0,0.313585,0.745,0.6228,0.2389,0.5468,0.365,0.7535,0.3821,0.692,0.6125
m136,aa/aba/bab,3.0,0.306281,0.7619,0.61,0.2175,0.5303,0.3949,0.7502,0.3717,0.6869,0.6244
m036,AB/bab/AAA,3.0,0.31488,0.77,0.5815,0.2626,0.5423,0.3797,0.7495,0.3362,0.7195,0.6077
m029,baa/bAb/BAB,3.0,0.321073,0.7853,0.5985,0.1582,0.4959,0.4552,0.7395,0.3706,0.6592,0.6543
m030,abb/bab/ABA,0.5,0.326584,0.7394,0.6315,0.2335,0.5515,0.3693,0.748,0.3861,0.6818,0.6213
m030,ba/aaB/abA,2.0,0.328482,0.7598,0.5829,0.2879,0.5576,0.3566,0.7496,0.3343,0.7301,0.596
m160,bA/BB/bAA,3.0,0.312438,0.7707,0.606,0.1968,0.5197,0.4192,0.7445,0.3687,0.676,0.638
m026,ab/aB/BAb,3.0,0.318359,0.8074,0.5463,0.2229,0.5039,0.442,0.7421,0.307,0.7115,0.6321
