length,twist,mult
4.8027908697726485,1.2021248712688881,2
4.805789095752988,-2.6775197351102307,2
4.808163412657319,-3.005614232080367,2
4.808310489588235,1.5242154722102195,2
4.808621722823287,0.054224044291341124,4
4.810184630933768,-1.8443444736482477,2
4.810914478474874,2.6447619046867406,6
4.816978433712177,-0.30446790098624993,2
4.820056232153427,2.3267280452474033,4
4.826512527103311,2.284866233541345,4
4.83024066848266,0.41893214964158726,2
4.830243539010399,0.08375068582857412,2
4.834191455981621,2.0905754104133196,2
4.836422896848238,0.05929592114914045,4
4.837151919627426,-0.7595246905972641,4
4.837354411303756,1.034032629894609,4
4.838589694040998,-0.25381883966102353,4
4.840428412324088,0.6281190101124422,2
4.843209985219852,-0.7680716325739403,2
4.845827708925496,1.2328510194690345,4
4.854632603422057,2.4853196646193005,2
4.854932544140206,3.1334281243059396,4
4.856086324160346,0.5038571773367969,4
4.857194433247451,1.7346469578720987,4
4.862486430732023,2.1035730933718644,2
4.86276939438601,0.3261505301041137,2
4.86461029913748,-2.0504011805718996,2
4.86569826462852,-0.5273215912890502,4
4.868168499621837,1.4763453592215905,2
4.8722285960863685,-0.9661653209512662,4
4.874498489701945,0.546543615609131,4
4.875441249090963,2.690123625335345,4
4.876413505233227,2.7039114907090154,2
4.8783365978560855,-0.02247344132316284,4
4.878812572541017,-3.1154415728726415,4
4.878880712285139,0.405055494178942,4
4.880874774117138,-0.07172848002699508,4
4.883619607520368,0.502588532352629,2
4.885212820202777,-1.1333807339663275,2
4.885999537680491,1.9924897195866866,4
4.8865035528932115,1.6039190747794856,4
4.892282108852675,-0.324258720729406,2
4.892899272549149,2.9332162075490023,4
4.894610172369639,-2.1356653826758007,2
4.896405020881664,-2.6118809579747047,2
4.89972446321316,-2.4512427721217716,2
4.903575147600634,0.8961120646281125,8
4.904387809853374,-0.19667672327569397,4
4.908768040283612,-1.6466969302919319,2
4.909964634812889,0.18877539792053966,1
4.911498566059298,-2.1884594928436196,4
4.912971403270615,0.0031686194126022316,2
4.914551499508614,0.982339006158552,4
4.91473727390079,1.1192014271149597,2
4.9199891764704295,2.991953636907001,4
4.920673640482248,0.332722725697317,2
4.927916646738624,-2.3385107779836485,2
4.933567101891441,-1.4219115957447876,2
4.936660103581154,1.0109252425761266,4
4.939504870970484,-2.1097221175500245,4
4.940071553631007,2.093968348182114,1
4.940236781587525,0.1723397003582338,2
4.940756331839543,-1.4577338692329234,4
4.9417268578043085,-2.952087852828008,4
4.942812488897754,-2.622791677723491,4
4.944157325167161,-1.9139594445512893,4
4.944980101282524,0.5213899475345648,1
4.945625315430947,-0.33969785557146387,4
4.945821994004818,1.497438693280465,2
4.9459321908535365,2.863709412084847,4
4.94939406286575,2.749013581899956,2
4.9511475025723,2.9030936084212136,2
4.953243341936148,-3.102432247870515,2
4.954194707016119,-0.12815033634987108,2
4.954212835628451,2.2003684079030785,4
4.957514387662344,1.1923211160635927,2
4.958305768135799,-1.7451397340169876,2
4.95847721589396,-1.1596505409611209,2
4.958863506053847,1.983303348855743,2
4.959282621588988,-1.7657686635140566,4
4.961327639616062,-1.9321909167765792,2
4.962799112405839,-1.0637310371085233,2
4.967652456128561,2.53696447761314,6
4.971694851214209,-2.239076758182286,2
4.979892836218091,1.756426112610141,2
4.98024027263415,-0.6754459968979999,6
4.9816106322699,0.8571223402366906,2
4.981658275391574,1.182373097912419,2
4.981748141639446,2.22623327796205,4
4.982126803137218,-2.11137736629791,4
4.983400103679113,1.2314122833026597,2
4.983573307659309,1.1624144770306593,4
4.985349894280695,0.7482074358033347,4
4.985966510406629,2.816719172508844,4
4.986118111722089,2.9018364624914508,4
4.9864693775654665,2.312431558771378,4
4.98752772313054,-0.8252848770085834,4
4.988207412949055,-2.9551191534246506,4
