manifold,word,length,phi_deg,phi_used,folding,target,target_val,abs_err,rel_err_pct,type,ratio_val
m006,AAAA/Ab,4,,,ratio,mb_mc,3.2913,0.0629,1.91,ratio,3.2284
m006,Abbbb/ABBab,5,,,ratio,MZ_MW,1.1345,0.0217,1.91,ratio,1.1562
m006,AAAA/ABB,4,,,ratio,mb_mc,3.2913,0.0629,1.91,ratio,3.2284
m006,BBBBB/AAB,5,,,ratio,MZ_MW,1.1345,0.0223,1.97,ratio,1.1568
m003,AABB,4,131.919,48.081,180-phi,theta23_NU,49.1,1.019,2.08,angle,
m006,ABB/ABBAb,5,,,ratio,MZ_MW,1.1345,0.0239,2.11,ratio,1.1584
m006,Ab/ABBAb,5,,,ratio,MZ_MW,1.1345,0.0239,2.11,ratio,1.1584
m006,Abbb/AAAb,4,,,ratio,MZ_MW,1.1345,0.0247,2.18,ratio,1.1098
m006,ABBBB/AAAb,5,,,ratio,MZ_MW,1.1345,0.0247,2.18,ratio,1.1098
m003,AABB/AAAb,4,,,ratio,MZ_MW,1.1345,0.0247,2.18,ratio,1.1098
m003,ABAbb/AAbab,5,,,ratio,mb_mc,3.2913,0.072,2.19,ratio,3.2193
m003,ABAbb/B,5,,,ratio,mb_mc,3.2913,0.072,2.19,ratio,3.2193
m003,AAAB,4,90.75,89.25,180-phi,7xtheta12_CKM,91.28,2.03,2.22,angle,
m003,ABBab/AAbab,5,,,ratio,mb_mc,3.2913,0.0734,2.23,ratio,3.3647
m003,ABBab/B,5,,,ratio,mb_mc,3.2913,0.0734,2.23,ratio,3.3647
m006,AAABB/ABBAb,5,,,ratio,mb_mc,3.2913,0.0739,2.25,ratio,3.2174
m003,BBBB/AAb,4,,,ratio,mb_mc,3.2913,0.074,2.25,ratio,3.3653
m006,AABaB/AAAb,5,,,ratio,mb_mc,3.2913,0.0749,2.27,ratio,3.2164
m006,ABBBB/AAbbb,5,,,ratio,MZ_MW,1.1345,0.0262,2.31,ratio,1.1083
m006,ABBBB/AA,5,,,ratio,MZ_MW,1.1345,0.0262,2.31,ratio,1.1083
m006,Abbb/AAbbb,5,,,ratio,MZ_MW,1.1345,0.0262,2.31,ratio,1.1083
m006,Abbb/AA,4,,,ratio,MZ_MW,1.1345,0.0262,2.31,ratio,1.1083
m006,B,1,89.156,89.156,direct,7xtheta12_CKM,91.28,2.124,2.33,angle,
m003,ABBBB/AABB,5,,,ratio,MZ_MW,1.1345,0.0266,2.34,ratio,1.1079
m006,AAAAb/Abb,5,,,ratio,mb_mc,3.2913,0.0778,2.36,ratio,3.3691
m006,AAAAb/ABBB,5,,,ratio,mb_mc,3.2913,0.0778,2.36,ratio,3.3691
m006,AAA/B,3,,,ratio,mb_mc,3.2913,0.0786,2.39,ratio,3.2127
m006,AABaB/AAbbb,5,,,ratio,mb_mc,3.2913,0.0792,2.41,ratio,3.2121
m006,AAb/BBB,3,,,ratio,MZ_MW,1.1345,0.0273,2.41,ratio,1.1618
m006,AAbb/BBB,4,,,ratio,MZ_MW,1.1345,0.0273,2.41,ratio,1.1618
m006,AABaB/AA,5,,,ratio,mb_mc,3.2913,0.0792,2.41,ratio,3.2121
m003,AAB/AABab,5,,,ratio,MZ_MW,1.1345,0.0278,2.45,ratio,1.1067
m006,AAAA/AAABB,5,,,ratio,MZ_MW,1.1345,0.0279,2.46,ratio,1.1624
m003,BB/AA,2,,,ratio,MZ_MW,1.1345,0.0283,2.5,ratio,1.1628
m003,BB/ABBB,4,,,ratio,MZ_MW,1.1345,0.0283,2.5,ratio,1.1628
m003,AAA/ABab,4,,,ratio,MZ_MW,1.1345,0.0288,2.54,ratio,1.1633
m006,Ab,2,69.754,69.754,direct,delta_CKM,68.0,1.754,2.58,angle,
m006,ABB,3,110.246,69.754,180-phi,delta_CKM,68.0,1.754,2.58,angle,
m006,AAABB/ABaB,5,,,ratio,MZ_MW,1.1345,0.0295,2.6,ratio,1.164
m003,ABBBB/AABAB,5,,,ratio,MZ_MW,1.1345,0.0296,2.61,ratio,1.1049
m006,AAB/BBBB,4,,,ratio,MZ_MW,1.1345,0.0298,2.62,ratio,1.1047
m003,AAAAB/AAAAb,5,,,ratio,MZ_MW,1.1345,0.0301,2.65,ratio,1.1044
m006,ABBab/Ab,5,,,ratio,MZ_MW,1.1345,0.0312,2.75,ratio,1.1657
m006,ABBab/ABB,5,,,ratio,MZ_MW,1.1345,0.0312,2.75,ratio,1.1657
m006,AAbb,4,87.513,92.487,180-phi,90deg,90.0,2.487,2.76,angle,
m006,AAb,3,92.487,92.487,direct,90deg,90.0,2.487,2.76,angle,
m006,AAbb,4,87.513,87.513,direct,90deg,90.0,2.487,2.76,angle,
m006,AAb,3,92.487,87.513,180-phi,90deg,90.0,2.487,2.76,angle,
m006,BBB,3,92.531,92.531,direct,90deg,90.0,2.531,2.81,angle,
m006,BBB,3,92.531,87.469,180-phi,90deg,90.0,2.531,2.81,angle,
m003,BBBB/AABBB,5,,,ratio,MZ_MW,1.1345,0.0326,2.87,ratio,1.1019
m006,AABab/ABBab,5,,,ratio,mb_mc,3.2913,0.0949,2.88,ratio,3.1964
m003,AAABB/AB,5,,,ratio,mb_mc,3.2913,0.096,2.92,ratio,3.3873
m003,AAAAB/AAbbb,5,,,ratio,MZ_MW,1.1345,0.0338,2.98,ratio,1.1007
m003,A/AABaB,5,,,ratio,MZ_MW,1.1345,0.034,2.99,ratio,1.1685
m006,BBBB/AAbb,4,,,ratio,MZ_MW,1.1345,0.0345,3.04,ratio,1.1
m006,BBBB/AAb,4,,,ratio,MZ_MW,1.1345,0.0345,3.04,ratio,1.1
m003,AAAb/ABab,4,,,ratio,MZ_MW,1.1345,0.0344,3.04,ratio,1.1689
m003,AAB,3,167.362,12.638,180-phi,theta12_CKM,13.04,0.402,3.08,angle,
m006,AB/Abb,3,,,ratio,MZ_MW,1.1345,0.0352,3.1,ratio,1.0993
m006,A/ABBB,4,,,ratio,MZ_MW,1.1345,0.0352,3.1,ratio,1.0993
m006,A/Abb,3,,,ratio,MZ_MW,1.1345,0.0352,3.1,ratio,1.0993
m006,AB/ABBB,4,,,ratio,MZ_MW,1.1345,0.0352,3.1,ratio,1.0993
m006,ABab/Abb,4,,,ratio,mb_mc,3.2913,0.1032,3.13,ratio,3.3945
m006,ABab/ABBB,4,,,ratio,mb_mc,3.2913,0.1032,3.13,ratio,3.3945
m006,AABaB/AAbb,5,,,ratio,mb_mc,3.2913,0.1049,3.19,ratio,3.3962
m006,AABaB/AAb,5,,,ratio,mb_mc,3.2913,0.1049,3.19,ratio,3.3962
m006,AAA/AABB,4,,,ratio,MZ_MW,1.1345,0.0364,3.21,ratio,1.1709
m006,BBBBB,5,85.782,94.218,180-phi,7xtheta12_CKM,91.28,2.938,3.22,angle,
m006,ABBAb/A,5,,,ratio,MZ_MW,1.1345,0.0367,3.23,ratio,1.0978
m006,AABBB/B,5,,,ratio,mb_mc,3.2913,0.1064,3.23,ratio,3.3977
m006,ABBAb/AB,5,,,ratio,MZ_MW,1.1345,0.0367,3.23,ratio,1.0978
m006,ABaB/AbAb,4,,,ratio,MZ_MW,1.1345,0.0371,3.27,ratio,1.1716
m003,AAAbb/AAAb,5,,,ratio,MZ_MW,1.1345,0.0372,3.28,ratio,1.1717
m006,ABBBB/AAbb,5,,,ratio,MZ_MW,1.1345,0.0373,3.29,ratio,1.1718
m006,Abbb/AAb,4,,,ratio,MZ_MW,1.1345,0.0373,3.29,ratio,1.1718
m006,ABBBB/AAb,5,,,ratio,MZ_MW,1.1345,0.0373,3.29,ratio,1.1718
m006,Abbb/AAbb,4,,,ratio,MZ_MW,1.1345,0.0373,3.29,ratio,1.1718
m003,BBBBB/AABB,5,,,ratio,mb_mc,3.2913,0.1089,3.31,ratio,3.1824
m003,AAABB/BBB,5,,,ratio,MZ_MW,1.1345,0.0375,3.31,ratio,1.172
m003,AAbab/ABaB,5,,,ratio,MZ_MW,1.1345,0.0383,3.37,ratio,1.1728
m003,B/ABaB,4,,,ratio,MZ_MW,1.1345,0.0383,3.37,ratio,1.1728
m003,AABAB/AABaB,5,,,ratio,mb_mc,3.2913,0.1114,3.38,ratio,3.1799
m006,AbAbb/BBBBB,5,,,ratio,MZ_MW,1.1345,0.0386,3.4,ratio,1.1731
m003,AAAAA/AAB,5,,,ratio,mb_mc,3.2913,0.1138,3.46,ratio,3.4051
m003,ABBab/ABB,5,,,ratio,mb_mc,3.2913,0.1159,3.52,ratio,3.1754
m003,BBBBB/AABAB,5,,,ratio,mb_mc,3.2913,0.1176,3.57,ratio,3.1737
m006,ABaB/AAAbb,5,,,ratio,MZ_MW,1.1345,0.0407,3.59,ratio,1.1752
m003,AAAA/ABAbb,5,,,ratio,MZ_MW,1.1345,0.0408,3.6,ratio,1.0937
m003,AABB/AABaB,5,,,ratio,mb_mc,3.2913,0.1201,3.65,ratio,3.1712
m003,AAAbb/AAA,5,,,ratio,MZ_MW,1.1345,0.0429,3.78,ratio,1.1774
m003,AAAAb,5,13.535,13.535,direct,theta12_CKM,13.04,0.495,3.8,angle,
m006,AAAB/AABB,4,,,ratio,MZ_MW,1.1345,0.0439,3.87,ratio,1.0906
m006,AABAB/AABB,5,,,ratio,MZ_MW,1.1345,0.0439,3.87,ratio,1.0906
m003,AAAB/AAA,4,,,ratio,MZ_MW,1.1345,0.0444,3.91,ratio,1.0901
m006,AAAbb/AABB,5,,,ratio,MZ_MW,1.1345,0.0446,3.94,ratio,1.1791
m003,A/ABaB,4,,,ratio,MZ_MW,1.1345,0.0469,4.14,ratio,1.0876
m003,AAAAB/AAAA,5,,,ratio,MZ_MW,1.1345,0.048,4.23,ratio,1.0865
m006,AbAb/AABB,4,,,ratio,MZ_MW,1.1345,0.0483,4.25,ratio,1.1828
m006,AAAAb/AbAb,5,,,ratio,MZ_MW,1.1345,0.0488,4.3,ratio,1.1833
