name,vol,score,j_inv,u11,u12,u13,u21,u22,u23,u31,u32,u33
m006,1.88541472555,1.4920044095852671,3.2849478427039373e-17,0.5773502691896257,0.816496580927726,2.06511095421071e-16,0.5773502691896257,0.408248290463863,0.7071067811865474,0.5773502691896257,0.4082482904638629,0.7071067811865475
m006,1.9415030840,1.4920044095852742,3.0820391346580886e-17,0.5773502691896257,0.816496580927726,1.7512105867530111e-16,0.5773502691896258,0.40824829046386296,0.7071067811865474,0.5773502691896258,0.40824829046386285,0.7071067811865475
m009,1.414061044,1.4920044095852774,2.9819740567478223e-17,0.5773502691896257,0.8164965809277258,1.57851989116834e-16,0.5773502691896258,0.408248290463863,0.7071067811865474,0.5773502691896258,0.4082482904638629,0.7071067811865475
m006,1.92229710955,1.4920044095853724,1.347347177090707e-18,0.5773502691896257,0.8164965809277259,4.8947823936212826e-17,0.5773502691896257,0.40824829046386296,0.7071067811865476,0.5773502691896257,0.40824829046386296,0.7071067811865477
m006,2.0288530915,1.492004409585377,-0.0,0.5773502691896257,0.8164965809277258,0.0,0.5773502691896257,0.4082482904638628,0.7071067811865475,0.5773502691896257,0.408248290463863,0.7071067811865475
m010,1.91084379309,1.4920044095854883,-3.347456691809263e-17,0.5773502691896257,0.8164965809277259,1.957912957448513e-16,0.5773502691896258,0.408248290463863,0.7071067811865474,0.5773502691896258,0.4082482904638629,0.7071067811865475
m007,1.84358597233,1.4920044095854954,-3.556024535826794e-17,0.5773502691896257,0.8164965809277259,1.957912957448513e-16,0.5773502691896257,0.4082482904638629,0.7071067811865474,0.5773502691896257,0.4082482904638628,0.7071067811865475
m006,1.9627376578,1.4920044095855012,-3.72991660636725e-17,0.5773502691896257,0.8164965809277259,1.957912957448513e-16,0.5773502691896258,0.40824829046386296,0.7071067811865474,0.5773502691896258,0.40824829046386285,0.7071067811865475
m009,1.83193118835,1.6493479582406279,-6.8587394759222006e-18,0.5773502691896257,0.8006407690254357,0.16012815380508721,0.5773502691896257,0.26164533545641044,0.77343932218408,0.5773502691896257,0.538995433569025,0.6133111683789928
m004,1.52947732943,1.9379136423763543,3.469446951953614e-18,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.2113248654051871,0.7886751345948129,0.5773502691896257,0.7886751345948129,0.2113248654051871
m010,2.0298832128,1.9379136423763774,-3.469446951953614e-18,0.5773502691896257,0.5773502691896257,0.5773502691896256,0.5773502691896256,0.2113248654051871,0.7886751345948129,0.5773502691896257,0.7886751345948129,0.21132486540518708
m015,2.0298832128,1.9379136423763816,-4.7704895589362195e-18,0.5773502691896257,0.577350269189626,0.5773502691896256,0.5773502691896258,0.21132486540518716,0.7886751345948128,0.5773502691896258,0.7886751345948128,0.2113248654051871
m009,1.94150308403,1.937913642376389,-6.938893903907228e-18,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.21132486540518713,0.7886751345948129,0.5773502691896257,0.7886751345948129,0.2113248654051871
