words,fitness,U00,U01,U02,U10,U11,U12,U20,U21,U22
aaa aaB baa,0.3267177487099365,0.9999999564495272,2.5179926401387413e-05,0.00029405257109549245,3.6671441009718382e-09,0.9963547922857598,0.08530608354156415,0.0002951286893001102,0.08530607982536556,0.9963547488941301
bb aaB baa,0.32724188604693,0.999322871051306,0.0031497441974233107,0.03665894850191202,1.3175379433890135e-05,0.996359740600663,0.0852482676456765,0.036794010656415486,0.08519006058027144,0.9956851180760639
bb BB baa,0.32855585081615235,0.9993228711380424,2.2946790855832035e-05,0.036794003504161024,1.1846847619727122e-09,0.9999998055468928,0.0006236234257189384,0.03679401065960903,0.000623201108709096,0.999322676816632
bb aba baa,0.3286731068467743,0.9993228704292905,3.7589199612500874e-05,0.036794010708484315,3.7662512917081996e-05,0.9999999992899233,1.299421540308445e-06,0.03679401063351353,2.684296567138229e-06,0.9993228711353981
AA aBa baa,0.3286875280069189,0.998266904004276,0.001565047292068,0.05882804600435937,2.7453565236523754e-06,0.9996475450933882,0.0265477980485336,0.05884886033034497,0.026501626662080526,0.9979150642324642
AA aba baa,0.32981243814372535,0.9982617851636784,0.0031857559399177883,0.05884946253719682,0.0032024109864512667,0.9999948544646385,0.00018870113992379916,0.05884855856942896,0.0003768333021786242,0.9982668506721852
AA aab baa,0.3321625072540571,0.9982669040079961,0.00045554587387967936,0.05884709712676527,2.896431001202694e-07,0.9999700764468722,0.007736033269866065,0.05884886033056427,0.007722608936956406,0.9982370324472042
AA aaa baa,0.33410309401191973,0.9982669040080381,1.7339063906076026e-05,0.05884885777620002,1.1834325998359545e-09,0.9999999566003717,0.0002946171332314531,0.05884886033056675,0.0002941064638150296,0.9982668606836458
aaB aBa baa,0.3385461102989165,0.9963547919491045,0.0022667560253179036,0.08527596599968304,6.461222883102123e-06,0.9996489036427114,0.02649659231255757,0.08530608722893115,0.026399455733915635,0.9960049900570996
aaB aba baa,0.3420016657589564,0.9963532534955477,0.0017380949092790773,0.08530634955806236,0.0017573285053641237,0.9999984445910395,0.00015037295600840424,0.08530595550933255,0.0002997358637236557,0.996354758162499
aa BB aba,0.36279853091087017,0.999946143670783,0.0016965611409438467,0.010238722489868972,5.650574014088809e-06,0.9866369129961352,0.16293434837850293,0.010378329634412403,0.16292551547793668,0.986583785940276
bb BB aba,0.36391657454879706,0.9999999992898059,6.142168684483806e-06,3.7184157438061064e-05,1.1854874889255976e-09,0.98663549322166,0.1629429455829608,3.7688032571650444e-05,0.16294294546719562,0.9866354925209648
BB aaa aba,0.3908876043627249,0.9866354931877144,0.0016738281595962232,0.16293434837850293,5.575357147454684e-06,0.9999475828915686,0.0102387224898695,0.16294294569311862,0.01010097859622074,0.9865837859402758
BB aab aba,0.39358369615340866,0.9866354932030483,6.65849678140385e-05,0.16294293209102234,3.9675464791488906e-08,0.999999916604907,0.0004083995309611396,0.16294294569565101,0.00040293500781717236,0.9866354109251317
aa BB aaB,0.4274721043710315,0.9999999999840337,5.486098453685555e-06,1.354682001792235e-06,5.650878349563351e-06,0.9706839683579077,0.24035938413345148,3.667144260619505e-09,0.240359384137269,0.9706839683734108
bb BB aaB,0.42747593402185147,0.9999999999130869,3.1701226221315853e-06,1.2797510407370255e-05,1.1854874896644893e-09,0.9706839683809648,0.2403593841067623,1.318430690862132e-05,0.2403593840858568,0.9706839682966035
BB aaa aaB,0.4647959689566209,0.970683968361485,4.998801693865734e-06,0.24035938413345145,5.4852170211701726e-06,0.9999999999840387,1.3546820017923442e-06,0.24035938412284322,2.6333914864144603e-06,0.9706839683734108
